Player,TEAM,TYPE,SEASON,AGE,GP,W,L,MIN,FGM,FGA,FGP,3PM,3PA,3PP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,Plus_Minus,OffRtg,DefRtg,NetRtg,ASTP,AST/TO,AST Ratio,OREBP,DREBP,REBP,TO Ratio,eFGP,TSP,USGP,PACE,PIE
Kyrie Irving_2014-2015,CLE,Regular,2014-2015,23,75,52,23,36.4,7.7,16.5,46.8,2.1,5,41.5,4.2,4.9,86.3,0.7,2.4,3.2,5.2,2.5,1.5,0.3,1.9,6,0,21.7,5.6,111,104.5,6.5,23.6,2.09,19.7,2.4,7.5,5,9.4,53.2,58.3,26,95.27,12.8
LaMarcus Aldridge_2014-2015,POR,Regular,2014-2015,29,71,48,23,35.4,9.3,19.9,46.6,0.5,1.5,35.2,4.3,5.1,84.5,2.5,7.7,10.2,1.7,1.7,0.7,1,1.8,39,0,23.4,4.8,108.2,102.5,5.7,8.9,1.02,6.8,7.7,23.2,15.6,6.7,47.9,52.8,30,96.45,15.6
Lance Stephenson_2014-2015,CHA,Regular,2014-2015,24,61,23,38,25.8,3.4,9,37.6,0.3,1.7,17.1,1.1,1.8,62.7,0.6,3.9,4.5,3.9,2.1,0.6,0.1,2.2,2,0,8.2,-3.6,94.3,101.8,-7.5,25.9,1.88,24.8,2.6,17,9.6,13.2,39.3,41.9,21.1,95.67,7.7
Lance Thomas_2014-2015,NYK,Regular,2014-2015,27,62,20,42,24,2.9,7.1,41.2,0.1,0.4,31.8,1.2,1.6,72.7,1,2.1,3.1,1.1,1.2,0.6,0.1,1.6,0,0,7.1,-5.6,95.6,106.2,-10.7,7.9,0.93,11,4.8,10.2,7.4,11.8,42,45.6,17.2,94.23,5.2
Landry Fields_2014-2015,TOR,Regular,2014-2015,27,26,16,10,8.3,0.8,1.6,48.8,0,0.1,50,0.2,0.2,83.3,0.4,0.6,1,0.6,0.3,0.4,0,0.3,0,0,1.8,-3.1,93.1,111.8,-18.7,11.2,1.88,22.5,5.2,8.3,6.7,12,50,52.7,11,94.82,6.8
Langston Galloway_2014-2015,NYK,Regular,2014-2015,23,45,12,33,32.4,4.5,11.4,39.9,1.4,3.9,35.2,1.4,1.7,80.8,0.8,3.4,4.2,3.3,1.4,1.2,0.3,2.9,0,0,11.8,-6,96.3,105.9,-9.5,17.5,2.46,19.8,2.7,12.3,7.3,8.1,46,48.9,19,94.45,8.2
Larry Drew_2014-2015,PHI,Regular,2014-2015,25,12,4,8,18.3,1.7,4.8,34.5,0.3,2.2,15.4,0.2,0.3,66.7,0.1,1.2,1.3,3.8,2.1,0.5,0,1.1,0,0,3.8,-6.1,87.4,106.2,-18.7,38.1,1.8,34.8,0.5,8,4,19.3,37.9,38.8,17.3,94.81,5.2
Larry Sanders_2014-2015,MIL,Regular,2014-2015,26,27,12,15,21.7,3.2,6.4,50,0,0,0,0.9,1.8,50,2.5,3.7,6.1,0.9,1,1,1.4,3.9,0,0,7.3,-3.3,95.1,100.7,-5.6,6.5,0.82,9.4,12.8,18.7,15.8,11.5,50,50.7,16.8,98.55,8.4
Lavoy Allen_2014-2015,IND,Regular,2014-2015,26,63,29,34,17,2.2,4.7,47.2,0,0,0,0.5,0.7,70.2,2,3.2,5.1,1.2,0.6,0.2,0.7,1.6,4,0,5,1.4,103.1,99.9,3.2,10.7,1.83,16.9,12.6,20.8,16.6,9.2,47.2,49.3,15,94.82,10.7
LeBron James_2014-2015,CLE,Regular,2014-2015,30,69,50,19,36.1,9,18.5,48.8,1.7,4.9,35.4,5.4,7.7,71,0.7,5.3,6,7.4,3.9,1.6,0.7,2,22,2,25.3,7.8,112.2,102.4,9.8,36.6,1.88,22.3,2.5,16.6,9.8,11.9,53.5,57.7,32.4,94.91,17.1
Leandro Barbosa_2014-2015,GSW,Regular,2014-2015,32,66,54,12,14.9,2.8,5.8,47.4,0.7,1.7,38.4,0.9,1.1,78.4,0.3,1,1.4,1.5,0.7,0.6,0.1,1.3,0,0,7.1,-0.1,103.8,101.7,2,16.2,2.25,17.6,2.6,7.6,5.1,7.8,53,55.8,20.6,99.65,9.6
